# scan = 82
# date = 7/5/2024
# time = 9:39:57 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 424
# command = scan h 0+0.5 k 0+0.5 l 2.9 e 0.1 4 0.1 preset mcu 60
# builtin_command = scan h 0+0.5 k 0+0.5 l 2.9 e 0.1 4 0.1 preset mcu 60
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Songxue Chi, Bing Li
# scan_title = HH2.9 scan new at Q=[0+0.5 0+0.5 2.9]
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = NiTiO3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.034785,5.034785,13.812004,90.000000,90.000000,120.000000
# ubmatrix = -0.016965,-0.026212,-0.071913,-0.201388,-0.193307,0.007769,-0.108415,0.120600,-0.003178
# mode = 0
# plane_normal = -0.040320,0.035237,0.998565
# ubconf = UB02Jul2024_34030PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 60.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q         ei         ef        vti     sample       temp     temp_2
     31     0.5000     0.5000     2.8998     3.1000     73.528      4.000 144001.000     60.000    76.7343   151.3427   -57.3146     0.4200    -1.0000    33.8160     5.3625    61.5529     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     7.9000     4.8000     1.4394     1.4283     1.0000   120.000
     32     0.5001     0.5001     2.8996     3.2000     73.840     21.000 144001.000     60.000    76.2507   151.5388   -56.9223     0.4200    -1.0000    33.9760     5.5550    61.2212     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     8.0000     4.8000     1.4396     1.4278     1.0000   120.000
     33     0.5000     0.5000     2.8998     3.3000     74.316     42.000 144001.000     60.000    75.7731   151.7310   -56.5380     0.4200    -1.0000    34.1360     5.7550    60.8914     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     8.1000     4.8000     1.4398     1.4272     1.0000   120.000
     34     0.5001     0.5001     2.8996     3.4000     74.320     85.000 144001.000     60.000    75.3132   151.9192   -56.1615     0.4200    -1.0000    34.2920     5.9475    60.5633     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     8.2000     4.8000     1.4396     1.4284     1.0000   120.000
     35     0.5000     0.5000     2.9002     3.5000     74.342    124.000 144001.000     60.000    74.8588   152.1038   -55.7924     0.4200    -1.0000    34.4480     6.1575    60.2370     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     8.3000     4.8000     1.4398     1.4280     1.0000   120.000
     36     0.5000     0.5000     2.9002     3.6000     74.406    119.000 144001.000     60.000    74.4099   152.2848   -55.4305     0.4200    -1.0000    34.6040     6.3550    59.9124     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     8.4000     4.8000     1.4398     1.4284     1.0000   120.000
     37     0.5000     0.5000     2.9002     3.7000     74.842     82.000 144001.000     60.000    73.9777   152.4622   -55.0756     0.4200    -1.0000    34.7560     6.5525    59.5893     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     8.5000     4.8000     1.4398     1.4275     1.0000   120.000
     38     0.5000     0.5000     2.9000     3.8000     75.105     37.000 144001.000     60.000    73.5392   152.6362   -54.7275     0.4200    -1.0000    34.9120     6.7475    59.2679     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     8.6000     4.8000     1.4397     1.4270     1.0000   120.000
     39     0.5000     0.5000     2.9000     3.9000     75.028     14.000 144001.000     60.000    73.1170   152.8070   -54.3860     0.4200    -1.0000    35.0640     6.9450    58.9479     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     8.7000     4.8000     1.4399     1.4289     1.0000   120.000
     40     0.5000     0.5000     2.9001     4.0000     75.022     12.000 144001.000     60.000    72.6996   152.9746   -54.0507     0.4200    -1.0000    35.2160     7.1450    58.6294     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     8.8000     4.8000     1.4400     1.4275     1.0000   120.000
